commodity_name,state,district,market,min_price,max_price,modal_price,date
Groundnut,Tamil Nadu,Villupuram,Villupuram,62.56,68.83,64.44,11/5/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,72,75.86,72,11/5/2019
Groundnut,Tamil Nadu,Coimbatore,Sevur,55.5,63,57.5,11/5/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,69.61,69.66,69.64,11/1/2019
Groundnut,Tamil Nadu,Villupuram,Thirukovilur,57.61,77.99,68.8,11/1/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,40.86,76.25,69.55,11/1/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,76.92,94.98,92.53,10/15/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,72.25,84.69,82.14,10/15/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,75,87.36,79.38,10/15/2019
Groundnut,Tamil Nadu,Coimbatore,Sevur,56,74.5,58,10/15/2019
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,83.36,104.23,93.79,10/15/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,58.48,66.33,62.73,10/15/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,61.15,67.4,64.28,11/6/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,70.86,86.2,81.25,10/11/2019
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,65.11,81.73,73.42,10/11/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,58.61,86.28,81.76,10/23/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,67.49,84.61,79.38,10/23/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,53.86,76.86,65.36,12/6/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,60.86,68.43,62.55,12/6/2019
Groundnut,Tamil Nadu,Villupuram,Sangarapuram,88.91,88.91,88.91,10/15/2019
Groundnut,Tamil Nadu,Villupuram,Villupuram,72.36,79.86,75.99,10/31/2019
Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,87.61,87.61,87.61,10/17/2019
Groundnut,Tamil Nadu,Vellore,Vellore,77.61,102.36,102,10/17/2019
Groundnut,Tamil Nadu,Erode,Anthiyur,50.69,65,62.69,10/24/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,63.99,83.11,73.55,10/24/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,52.61,90.86,84.99,10/24/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,60,77.49,72.63,10/31/2019
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,56.73,75.83,67.63,10/31/2019
Groundnut,Tamil Nadu,Erode,Anthiyur,41.5,56,46.11,12/5/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,58.88,78.78,68.83,12/5/2019
Groundnut,Tamil Nadu,Namakkal,Rasipuram,45,48,46.5,12/5/2019
Groundnut,Tamil Nadu,Coimbatore,Sevur,55,57.2,56,12/5/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,60.36,69.75,64.24,12/5/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,61.36,71.25,66.31,11/27/2019
Groundnut,Tamil Nadu,Coimbatore,Sevur,55,57.8,56.5,11/27/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,63.78,76.41,70.1,11/27/2019
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,66.23,89.61,77.92,10/23/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,45.48,58.98,54.8,10/23/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,75.24,79.74,77.49,10/21/2019
Groundnut,Tamil Nadu,Coimbatore,Sevur,56,72,58.5,10/21/2019
Groundnut,Tamil Nadu,Coimbatore,Sevur,55,58.5,57,11/30/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,65.98,75.75,67.88,11/4/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,44.62,70.86,68.3,11/4/2019
Groundnut,Tamil Nadu,Villupuram,Chinnasalem,45,64.49,50,11/4/2019
